gid_B73	fam	fam_size	fam_idx	note1	note2	n_mu	mid	sids	gid_W22	map_type	impact	eff	TF45	n.tgt	m.drc	tf.type	eQTL_fc	eQTL_n	eQTL_grp_size	eQTL	B_Embryo	B_Endosperm	B_Internode	B_Leaf10	B_Root	B_Shoot	W_Embryo	W_Endosperm	W_Internode	W_Leaf10	W_Root	W_Shoot	max_W22_exp
Zm00001d039004	NAC	126	85	NAC-transcription factor 87	NAC87 NAC type transcription factor	1	mu1053838	UFMu-06949	Zm00004b031254	One-to-One	high	splice_donor_variant	FALSE	0							0	3.5	2.8	70.4	5.6	5.4	0	8.8	0.1	13.5	3.5	2.1	8.8
Zm00001d039017	WOX	19	13	WUSCHEL related homeobox 9c	WUSCHEL related homeobox 9c	1	mu1060499	UFMu-08200	Zm00004b031265	One-to-One	moderate	missense_variant	FALSE	0							4.4	0	0	0	0	0.2	1.4	0	0	0	0	0.3	1.4
Zm00001d039019	ERF	177	129	AP2-EREBP-transcription factor 165	Putative AP2/EREBP transcription factor superfamily protein	2	mu1068024|mu1078070	UFMu-08566|UFMu-09307,UFMu-11067	Zm00004b031267	One-to-One	moderate	missense_variant	FALSE	0							0	0	0	0	0.3	0.1	0	0	0	0	0.6	0.1	0.6
Zm00001d039185	MYB_related	109	82	""	Homeodomain-like superfamily protein	1	mu1021985	UFMu-01703,UFMu-02596,UFMu-06827,UFMu-07763	Zm00004b031413	One-to-One	moderate	missense_variant	FALSE	0							15.6	2.7	4	3.6	5.5	9.9	18.1	4.2	0.9	1.6	6.7	7.9	7.9
Zm00001d039260	G2-like	61	47	golden plant2	golden plant2	1	mu1010107	UFMu-00214	Zm00004b015589	One-to-One	moderate	missense_variant	FALSE	0							4.8	0.1	43.3	33.3	0.6	33.1	5.2	0.1	55.1	74.2	0.9	31.6	74.2
Zm00001d039266	Nin-like	17	13	NLP-transcription factor 6	Protein NLP6	1	mu1038157	UFMu-03723	Zm00004b015595	One-to-One	high	splice_donor_variant	FALSE	0							38.9	6.7	47.8	20.6	59.8	55.3	31.4	11.3	41.9	60.1	66.6	55.8	66.6
Zm00001d039267	ARF	36	26	ARF-transcription factor 7	Auxin response factor 7	6	mu1017909|mu1076913|mu1080981|mu1086101|mu1090519|mu1094628	UFMu-01190|UFMu-08988|UFMu-09486|UFMu-10745|UFMu-13123|UFMu-11705	Zm00004b015597	One-to-One	high	splice_acceptor_variant	FALSE	1	1	acti					23	84.7	52.2	18.2	159.1	16	20.4	87.8	32.4	25.4	160.4	16.1	87.8
Zm00001d039272	bHLH	190	141	bHLH-transcription factor 46	WPP domain-interacting tail-anchored protein 1	1	mu1080987	UFMu-09445	Zm00004b015602	One-to-One	moderate	missense_variant	FALSE	0							9.6	9.3	15.9	4.8	6.4	4.2	5.6	0.8	22.2	3.2	6	3.6	6
Zm00001d039371	TCP	42	30	TCP-transcription factor 33	Transcription factor TCP4	2	mu1038380|mu1081092	UFMu-03476|UFMu-09492	Zm00004b015697	One-to-One	high	start_lost	FALSE	12	1	acti					116.6	14.9	0.8	4.8	6.6	63.8	59.1	23.9	1	9.2	4.7	62.2	9.2
Zm00001d039424	ERF	177	132	AP2-EREBP-transcription factor 103	""	1	mu1094733	UFMu-11671	Zm00004b015743	One-to-One	high	frameshift_variant	FALSE	0							0.2	0	0	0	0.1	0.2	2	0	0.1	0.4	0.2	0.1	2
Zm00001d039467	C2H2	132	103	""	Protein indeterminate-domain 11	1	mu1077163	UFMu-09139	Zm00004b015783	One-to-One	moderate	conservative_inframe_deletion	FALSE	0							8.6	0.1	32.9	2.3	16.5	10.5	8.1	0.1	28.6	8.3	21.5	10.1	8.3
Zm00001d039658	bZIP	128	91	bZIP-transcription factor 6	Transcription factor HY5-like	2	mu1059366|mu1069307	UFMu-08145|UFMu-08808	Zm00004b015964	One-to-One	high	frameshift_variant	FALSE	3	1	acti					17.2	28	13.9	17.5	8.1	29.9	37.6	58.4	47.5	22.2	9.4	41.4	9.4
Zm00001d039893	MYB	163	116	MYB-transcription factor 81	Duplicated homeodomain-like superfamily protein	1	mu1090656	UFMu-11469	Zm00004b016162	One-to-One	moderate	missense_variant	FALSE	5	1	acti					7.2	12.8	205.4	19.3	82.6	31.4	8.4	10.5	143.7	11.9	75.9	25.8	8.4
Zm00001d040090	HD-ZIP	60	46	outer cell layer1	Homeobox-leucine zipper protein ANTHOCYANINLESS 2	4	mu1047857|mu1047857|mu1071799|mu1094719	UFMu-06337,UFMu-06548|UFMu-10643|UFMu-02048|UFMu-12396	Zm00004b016310	One-to-One	moderate	missense_variant	FALSE	1	1	acti					98.2	1	1.8	11.9	33.5	89.3	67.7	0.8	1	21.9	27.4	91.4	91.4
Zm00001d040254	GeBP	20	16	""	Probable transcription factor	2	mu1059628|mu1090884	UFMu-07824|UFMu-11213	Zm00004b016445	One-to-One	non-syntenic		FALSE	0							1	1.1	1.1	8.3	0.9	4.5	0.3	0.4	0.9	4.2	0.6	5	5
Zm00001d040301	C3H	55	41	C3H-transcription factor 312	Zinc finger CCCH domain-containing protein 58	1	mu1059634	UFMu-07809	Zm00004b016481	One-to-One	moderate	missense_variant	FALSE	0							28.4	12.3	72.6	47.7	58.2	49.5	25.7	7.4	45.4	25.9	49.3	38.6	7.4
Zm00001d040536	bHLH	190	147	bHLH-transcription factor 68	Transcription factor PIF4	1	mu1019060	UFMu-01093	Zm00004b016657	One-to-One	moderate	missense_variant	FALSE	0							0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d040611	TALE	28	23	Homeobox-transcription factor 74	Homeobox protein liguleless 3	1	mu1030115	UFMu-02582,UFMu-03240	Zm00004b016710	One-to-One	no_change		FALSE	5	1	acti					28.8	1.6	133.6	0.2	28	24.7	33.2	4.1	140	0.1	35.2	15.1	4.1
Zm00001d041397	WRKY	121	88	WRKY-transcription factor 110	Probable WRKY transcription factor 74	2	mu1038108|mu1047552	UFMu-03934|UFMu-06118	Zm00004b017243	One-to-One	no_change		FALSE	0							22	8.7	37.7	18.5	21.7	27.4	21.9	12.1	17.2	44	25	32.9	44
Zm00001d041444	CPP	12	10	CPP-transcription factor 13	Protein tesmin/TSO1-like CXC 4	2	mu1043463|mu1090438	UFMu-04909|UFMu-13542	Zm00004b017273	One-to-One	moderate	missense_variant	FALSE	1	1	acti					17.4	11.8	12.7	6.1	7.9	7.2	18.2	11.2	23.2	10	14.5	9.5	9.5
Zm00001d041445	CPP	12	11	CPP-transcription factor 10	Protein tesmin/TSO1-like CXC 2	1	mu1083255	UFMu-10376	Zm00004b017274	One-to-One	modifier	intron_variant	FALSE	0							136.8	178.6	123.2	74.9	200.8	120.2	162.6	192.9	157	101.3	175.2	108	192.9
Zm00001d041474	LSD	6	3	""	Protein LSD1	1	mu1056051	UFMu-07503	Zm00004b017294	One-to-One	modifier	3_prime_UTR_variant	FALSE	0							21.6	16.2	75.1	40.3	67.3	43.7	28.4	26.2	107.8	53.3	73.2	45.8	73.2
Zm00001d041491	NF-YA	13	13	CCAAT-HAP2-transcription factor 212	Nuclear transcription factor Y subunit A-7	2	mu1043460|mu1076858	UFMu-04904|UFMu-08926	Zm00004b017306	One-to-One	no_change		FALSE	30	0.8	acti					13.8	11.4	20.2	18.4	15.5	15.7	31.3	16.2	51	32.1	24.2	16.2	51
Zm00001d041536	GRAS	81	53	GRAS domain family50	GRAS domain family50	4	mu1008157|mu1014300|mu1024416|mu1043457	UFMu-00502,UFMu-07217|UFMu-02114|UFMu-02335|UFMu-05113	Zm00004b017339	One-to-One	moderate	missense_variant	FALSE	0							8.1	4.2	8	8.7	7.7	6	7.3	6	4.5	5.9	5	4.2	7.3
Zm00001d041780	ZF-HD	21	15	ZF-HD-transcription factor 21	Zinc-finger homeodomain protein 4	4	mu1018735|mu1052599|mu1056071|mu1065420	UFMu-00767|UFMu-06758|UFMu-07240|UFMu-00767	Zm00004b017524	One-to-One	no_change		FALSE	1	1	acti					6.1	0	0	18.7	0.8	14.6	8.7	0	0.1	7.9	0.6	11.7	8.7
Zm00001d041883	GATA	36	29	C2C2-GATA-transcription factor 31	GATA transcription factor 14	5	mu1014327|mu1047597|mu1047598|mu1070232|mu1080972	UFMu-02018|UFMu-06523|UFMu-06266|UFMu-02656|UFMu-09420	Zm00004b017607	One-to-One	moderate	missense_variant	FALSE	1	1	acti					8.1	4	5.6	6.4	5.2	9.9	7.5	15	4.6	5.5	4.9	9	9
Zm00001d041926	bHLH	190	149	""	Transcription factor LHW	1	mu1052608	UFMu-06651	Zm00004b017632	One-to-One	moderate	missense_variant	FALSE	0							39.4	14.9	40.3	10.2	29.3	28.9	29.5	9.1	26.2	14.6	32.8	29.6	9.1
Zm00001d042127	GRAS	81	55	GRAS-transcription factor 4	GRAS family transcription factor containing protein	1	mu1076906	UFMu-09036	Zm00004b017805	One-to-One	low	synonymous_variant	FALSE	21	1	acti					10.6	0.5	10.8	4.6	4.9	5.5	17.9	0.8	7.2	7.2	5.2	4.8	7.2
Zm00001d042196	NF-YB	19	13	CCAAT-DR1-transcription factor 2	Nuclear transcription factor Y subunit B-4	1	mu1083280	UFMu-09994	Zm00004b017873	One-to-One	moderate	disruptive_inframe_deletion	FALSE	12	0.3333333333333333	mix					0.1	0	0	1.4	0.9	0	0	0	0	0	0.1	0	0.1
Zm00001d042212	HB-other	21	17	luminidependens protein1	luminidependens protein1	2	mu1044918|mu1044918	UFMu-05794|UFMu-10697	Zm00004b017891	One-to-One	moderate	missense_variant	FALSE	0							31.6	61.5	86.7	44.4	46.1	36.4	30.3	54.8	59.2	46.7	44.9	28.2	59.2
Zm00001d042263	bHLH	190	151	bHLH-transcription factor 175	Inducer of CBF expression 2	1	mu1030016	UFMu-02835	Zm00004b017935	One-to-One	high	frameshift_variant	FALSE	0							10.4	126.7	1.3	14.4	0.8	7.6	19.9	168.6	0.9	16.5	3	9.5	9.5
Zm00001d042305	TCP	42	32	TCP-transcription factor 8	Transcription factor TCP11	3	mu1043423|mu1043424|mu1083292	UFMu-05287|UFMu-04869|UFMu-10407	Zm00004b017972	One-to-One	moderate	missense_variant	FALSE	0							3.3	1.6	10.5	3	7.1	4.7	5.4	3.3	12	3.4	8.7	3.3	8.7
Zm00001d042315	M-type_MADS	31	23	MADS-transcription factor 69	MADS-box transcription factor 56	1	mu1014353	UFMu-01868	Zm00004b017983	One-to-One	no_change		FALSE	0							1.9	1.7	4.7	1.4	0.6	0.1	3	0.1	5.7	4.6	1.5	0.4	5.7
Zm00001d042373	bHLH	190	152	bHLH-transcription factor 32	Transcription factor bHLH62	6	mu1038168|mu1038169|mu1043418|mu1056119|mu1073937|mu1076932	UFMu-04186|UFMu-04186|UFMu-05286,UFMu-05620|UFMu-07316|UFMu-04434,UFMu-09139|UFMu-08925	Zm00004b018032	One-to-One	high	splice_donor_variant	FALSE	1	1	acti					24.6	27.3	33	48.7	63.4	41.2	30.9	22.1	29.6	35.6	64.4	23.3	64.4
Zm00001d042463	ARR-B	9	6	ARR-B-transcription factor 6	Two-component response regulator ARR11	1	mu1033989	UFMu-03519,UFMu-04992,UFMu-08040	Zm00004b018100	One-to-One	modifier	intron_variant	FALSE	1	1	acti	5.39901603731391	1	17	li2013	3.8	1.2	33.1	32.2	147	11.8	2.8	0.2	41.3	39.2	157.7	19.7	41.3
Zm00001d042588	ERF	177	136	AP2-EREBP-transcription factor 52	AP2 domain containing protein	5	mu1031420|mu1031420|mu1035900|mu1035900|mu1072663	UFMu-02686,UFMu-03228|UFMu-11153|UFMu-03474|UFMu-09477|UFMu-03474,UFMu-09085	Zm00004b018207	One-to-One	moderate	disruptive_inframe_insertion	FALSE	0							14.2	1.3	5.2	0.5	3.2	2.7	15.8	1.5	1.8	0.6	2.8	2.3	2.8
Zm00001d042717	ERF	177	138	AP2-EREBP-transcription factor 174	Ethylene-responsive transcription factor ABR1	1	mu1017634	UFMu-00986	Zm00004b018340	One-to-One	moderate	conservative_inframe_insertion	FALSE	1	1	acti					0.3	1.8	10.8	0.8	1.1	2.7	0.1	1.9	1.6	2.8	0.6	3.1	3.1
Zm00001d042907	GRAS	81	57	GRAS-transcription factor 23	""	2	mu1034745|mu1056160	UFMu-03136|UFMu-07157	Zm00004b018499	One-to-One	moderate	missense_variant	FALSE	0							7	8.8	39.2	49.5	30.1	19.8	15	3.4	96.6	37.2	23.1	20.2	96.6
Zm00001d042917	Trihelix	46	38	Trihelix-transcription factor 27	Trihelix transcription factor ASIL2	4	mu1008312|mu1039968|mu1043397|mu1072302	UFMu-00254|UFMu-03146,UFMu-04869|UFMu-05071|UFMu-02178,UFMu-09198	Zm00004b018507	One-to-One	high	frameshift_variant	FALSE	1	-1	repr					1.3	0.2	1.3	0.8	0.2	0.2	1.2	0.2	0.4	2	0	0.6	2
Zm00001d042965	C3H	55	44	""	Nucleic acid binding protein	1	mu1083320	UFMu-10027,UFMu-12343	Zm00004b018548	One-to-One	low	synonymous_variant	FALSE	0							78.6	115.1	73.9	71.7	81.2	98.5	126.2	92.1	124.7	84.8	95.4	96.2	96.2
Zm00001d042989	bHLH	190	154	barren stalk1	Transcription factor bHLH83	1	mu1066887	UFMu-08301	Zm00004b018568	One-to-Many	no_change		FALSE	0							0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d043094	NAC	126	97	NAC-transcription factor 70	Pentatricopeptide repeat-containing protein  mitochondrial	5	mu1016227|mu1016227|mu1038215|mu1039858|mu1085178	UFMu-02253|UFMu-05783|UFMu-03730|UFMu-03904,UFMu-04337,UFMu-04827|UFMu-10393	Zm00004b018650	One-to-One	low	synonymous_variant	FALSE	0							5.6	4.7	23.6	15.5	16.3	8.8	8.1	5	26.3	24.6	17.3	11.6	8.1
Zm00001d043116	AP2	28	23	AP2-EREBP-transcription factor 77	Ethylene-responsive transcription factor WRI1	1	mu1018764	UFMu-00958	Zm00004b018665	One-to-One	high	frameshift_variant	FALSE	0							4.8	0	1.4	0	0	0.1	7.3	0	2	0.2	0	0.3	7.3
Zm00001d043153	bZIP	128	100	bZIP-transcription factor 56	octopine synthase binding factor3	1	mu1038218	UFMu-02844	Zm00004b018693	One-to-One	non-syntenic	missense_variant	FALSE	0							0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d043243	C2H2	132	109	MRP interacting2	MRP interacting2	2	mu1043380|mu1090657	UFMu-04885|UFMu-13501	Zm00004b018777	One-to-One	no_change		FALSE	0							11.8	0.1	0.3	5.6	0.8	6.2	11.5	0.3	0.8	4.8	1.4	4.3	4.8
Zm00001d043696	MYB_related	109	89	single myb histone4	Homeodomain-like/winged-helix DNA-binding family protein	1	mu1035070	UFMu-03459	Zm00004b019199	One-to-One	low	splice_region_variant	FALSE	0							51.6	24.1	27.1	16.7	23.2	29.7	44.2	16.4	26	13.9	22.5	23.3	44.2
Zm00001d043877	NAC	126	98	NAC-transcription factor 94	NAC domain-containing protein 72	1	mu1090743	UFMu-12128	Zm00004b019361	One-to-One	high	frameshift_variant	FALSE	0							0.6	0.7	0.2	0.3	0	0	0.6	0.6	0.3	0	0.1	0	0.6
Zm00001d043902	Trihelix	46	39	Trihelix-transcription factor 17	sequence-specific DNA binding transcription factors	2	mu1070134|mu1077055	UFMu-02510|UFMu-09012	Zm00004b019381	One-to-One	moderate	disruptive_inframe_deletion	FALSE	0							15.9	1	6.8	5.6	6.2	6.9	12.3	1	10.1	9.3	6.3	8.9	9.3
Zm00001d043992	bZIP	128	103	bZIP transcription factor1	bZIP transcription factor1	4	mu1038302|mu1051091|mu1056241|mu1056241	UFMu-04204|UFMu-06212|UFMu-07430|UFMu-11314	Zm00004b019445	One-to-One	non-syntenic	missense_variant	FALSE	5	1	acti					13.7	0.3	4.7	2.1	1.7	1.3	10.8	1	3.7	3	7	3.5	7
Zm00001d044004	ERF	177	142	AP2-EREBP-transcription factor 208	Ethylene-responsive transcription factor CRF4	1	mu1014492	UFMu-01361	Zm00004b019451	One-to-One	moderate	missense_variant	FALSE	2	1	acti					2	0	0	0	4.7	2.3	2.6	0	0.3	0.1	4.8	2	4.8
Zm00001d044857	ERF	177	143	AP2-EREBP-transcription factor 31	Putative AP2/EREBP transcription factor superfamily protein	2	mu1054872|mu1074941	UFMu-06571|UFMu-03865	Zm00004b031554	One-to-One	moderate	missense_variant	FALSE	1	1	acti					0.3	0	19.2	3.9	46.9	2.8	0.6	0.2	30.2	4.3	29.1	3.7	4.3
Zm00001d044940	bZIP	128	105	bZIP-transcription factor 100	Putative bZIP transcription factor superfamily protein	2	mu1050112|mu1050636	UFMu-05989|UFMu-06526	Zm00004b031617	One-to-One	moderate	missense_variant	FALSE	19	0.9649122807017544	acti					23.3	95.6	15.6	5.8	8	9.8	21.3	168.8	6	4.7	18.3	8	8
Zm00001d045212	bHLH	190	163	bHLH-transcription factor 125	Transcription factor SPATULA	1	mu1093908	UFMu-12056	Zm00004b031831	One-to-One	high	frameshift_variant	FALSE	0							38	62.2	12.2	4	8.5	4	24.8	56	3	6.6	7.6	3.5	7.6
Zm00001d045262	ERF	177	147	AP2-EREBP-transcription factor 175	Putative AP2/EREBP transcription factor superfamily protein	1	mu1017385	UFMu-01127,UFMu-02334,UFMu-11097,UFMu-13982	Zm00004b031874	One-to-One	moderate	missense_variant	FALSE	0							0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d045323	DBB	14	13	double B-box zinc finger protein11	Profilin homolog5	3	mu1008518|mu1021162|mu1021162	UFMu-00446,UFMu-00886,UFMu-03300,UFMu-03775,UFMu-04902|UFMu-01228|UFMu-06890	Zm00004b031930	One-to-One	modifier	intron_variant	FALSE	0							240.8	171.6	398.2	242.5	461.3	335.3	261.2	188.9	487.2	287.5	495.1	490.4	495.1
Zm00001d045507	GRAS	81	59	GRAS-transcription factor 42	Scarecrow-like protein 28	1	mu1021149	UFMu-01454,UFMu-03431,UFMu-09491	Zm00004b032091	One-to-One	moderate	missense_variant	FALSE	282	0.9929078014184397	acti					51.3	0.1	0	0	15.5	23.6	67.5	0.2	0	0.2	14.1	20.8	67.5
Zm00001d045589	GRAS	81	60	GRAS-transcription factor 32	Scarecrow-like protein 6	6	mu1016773|mu1018294|mu1054838|mu1080205|mu1084362|mu1093961	UFMu-01339,UFMu-03226,UFMu-03997,UFMu-05673,UFMu-07777,UFMu-10438,UFMu-10913,UFMu-11213,UFMu-12558,UFMu-13923|UFMu-00786|UFMu-06650|UFMu-02216,UFMu-03226,UFMu-03997,UFMu-05673,UFMu-08880,UFMu-11213|UFMu-10436|UFMu-11164	Zm00004b032166	One-to-One	moderate	missense_variant	FALSE	0							0.4	0.4	3.2	5.9	1.9	5.5	2	1.6	2	7.7	3.5	8.1	8.1
Zm00001d045617	NAC	126	103	NAC-transcription factor 117	Protein NTM1-like 9	1	mu1033892	UFMu-03232	Zm00004b032186	One-to-One	no_change		FALSE	0							18.8	32.8	34.1	18.5	19.5	14.3	12.9	26.2	27.3	19.7	21.8	14.8	27.3
Zm00001d045735	CO-like	14	10	constans1	Zinc finger protein CONSTANS-LIKE 1	2	mu1001948|mu1050080	UFMu-00272|UFMu-05984	Zm00004b032274	One-to-One	high	splice_donor_variant	FALSE	5	0.6	mix					60.1	31.8	43.1	21.7	38.4	48.7	46.6	18.1	48.6	28.6	31.4	29.4	48.6
Zm00001d046174	G2-like	61	54	G2-like-transcription factor 2	Putative MYB DNA-binding domain superfamily protein	1	mu1050644	UFMu-06091	Zm00004b032578	One-to-One	moderate	missense_variant	FALSE	1	1	acti					0	0	0	0	10.6	0.1	0	0	0.5	0	9	0.1	9
Zm00001d046223	TALE	28	24	Homeobox-transcription factor 21	Homeobox protein ATH1	1	mu1030960	UFMu-03075	Zm00004b032608	One-to-One	moderate	conservative_inframe_deletion	FALSE	0							1.5	0	0	2.1	1.6	23.8	1.8	0	0	2.8	1.5	30.9	30.9
Zm00001d046305	BES1	10	8	BZR-transcription factor 1	Protein BRASSINAZOLE-RESISTANT 1	2	mu1050106|mu1050106	UFMu-06161|UFMu-12044	Zm00004b032660	One-to-One	low	synonymous_variant	FALSE	0							64.8	7.5	20.8	11.3	28.2	26.7	42.7	14.8	21.9	70.4	29.2	23.7	70.4
Zm00001d046517	MYB	163	140	MYB-transcription factor 122	Putative MYB DNA-binding domain superfamily protein	1	mu1088211	UFMu-11119	Zm00004b032843,Zm00004b032844,Zm00004b032845	Many-to-Many	non-syntenic	missense_variant	FALSE	0							0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0	0	0	0	0.1
Zm00001d046518	MYB	163	141	MYB-transcription factor 82	Putative MYB DNA-binding domain superfamily protein	1	mu1088211	UFMu-11119	Zm00004b032843,Zm00004b032844,Zm00004b032845	Many-to-Many	moderate	missense_variant	FALSE	0							0.1	0	0	0	0	0	0	0	0.1	0.4	0.1	0.1	0.4
Zm00001d046568	TALE	28	25	knotted related homeobox2	knotted related homeobox2	1	mu1050134	UFMu-06414	Zm00004b032885	One-to-One	low	synonymous_variant	FALSE	2	-1	repr					36.1	39.5	116.6	210.1	58.9	89.7	40.2	63.6	176.8	87.6	90.6	121.6	90.6
Zm00001d046621	AP2	28	25	glossy15	Floral homeotic protein APETALA 2	1	mu1054922	UFMu-06724	Zm00004b032929	One-to-One	moderate	missense_variant	FALSE	0							0.1	0	0	1.3	0.1	33.7	0.2	0	0.1	0.9	0.2	28.5	28.5
Zm00001d046759	bHLH	190	166	bHLH-transcription factor 69	Putative HLH DNA-binding domain superfamily protein	1	mu1040125	UFMu-03264	Zm00004b033038	One-to-One	moderate	disruptive_inframe_deletion	FALSE	0							4	1	0.1	0.4	1.1	8.6	6.6	0.6	0	0.4	1.2	7.2	7.2
Zm00001d046774	C2H2	132	115	""	Zinc finger protein WIP2	1	mu1093615	UFMu-13992	Zm00004b033050	One-to-One	moderate	missense_variant	FALSE	0			5.187549880287311	2	10	li2013,wang2018	1.3	0	4.9	1.1	0	2.9	1.4	0.2	3.6	1.6	0.5	3.5	3.6
Zm00001d046974	MYB_related	109	99	MYB-related-transcription factor 86	Protein REVEILLE 6	1	mu1042167	UFMu-04895	Zm00004b033204	One-to-One	non-syntenic	conservative_inframe_deletion	FALSE	0							14.3	5.5	24.7	22.4	16.5	19.1	28.2	6.3	39.4	28.9	33.7	22.8	6.3
Zm00001d047017	bHLH	190	167	bHLH-transcription factor 91	Putative HLH DNA-binding domain superfamily protein	3	mu1061236|mu1068743|mu1078829	UFMu-08145|UFMu-08605|UFMu-08917	Zm00004b033231	Many-to-One	no_change		FALSE	23	1	acti					2.2	2.8	20.7	11.6	3.3	3.6	4.1	2.2	38.7	9.3	4.4	4	9.3
Zm00001d047216	bHLH	190	168	""	Putative HLH DNA-binding domain superfamily protein isoform 1; Putative HLH DNA-binding domain superfamily protein isoform 2	2	mu1016554|mu1040175	UFMu-02274|UFMu-04133	Zm00004b033420	One-to-One	high	splice_acceptor_variant	FALSE	0							18.7	9.7	18.5	16.1	47.8	47.6	27.6	6.1	27.7	23.9	45	31.7	6.1
Zm00001d047421	GeBP	20	18	GeBP-transcription factor 9	Probable transcription factor	1	mu1022119	UFMu-02420	Zm00004b033573	One-to-One	moderate	conservative_inframe_insertion	FALSE	3	1	acti					3.9	4	6.5	2.1	3.5	2.7	4.9	4.7	3.5	3.3	3.3	2.5	4.9
Zm00001d047554	NAC	126	106	NAC-transcription factor 81	GRAB2 protein; Putative NAC domain transcription factor superfamily protein	1	mu1049924	UFMu-06493	Zm00004b033710	One-to-One	moderate	disruptive_inframe_insertion	FALSE	1	1	acti					2.5	5.9	22.2	2.4	21.8	10.6	5.3	7.7	25.6	2.8	39.9	10.4	7.7
Zm00001d047563	EIL	9	8	ethylene insensitive-like1	ethylene insensitive-like1	2	mu1007168|mu1042129	UFMu-00469|UFMu-05170	Zm00004b033717	One-to-One	moderate	missense_variant	FALSE	0			11.515151515151516	1	8	wang2018	3.3	7.7	169.2	61.7	62.1	29	20.1	6.3	287.1	73.4	107.1	36.1	73.4
Zm00001d047574	WRKY	121	110	WRKY-transcription factor 65	""	2	mu1022433|mu1030365	UFMu-01886|UFMu-02682	Zm00004b033725,Zm00004b033726	Many-to-One	modifier	intron_variant	FALSE	0							11	3.2	17.7	82.2	12.4	39.8	7.5	2.5	22.1	50.9	8.4	59.1	8.4
Zm00001d048229	bHLH	190	171	bHLH-transcription factor 21	Putative HLH DNA-binding domain superfamily protein	1	mu1019217	UFMu-01002	Zm00004b034311	One-to-One	no_change		FALSE	2	1	acti					3.9	4.8	0	0	4.1	3.3	3.3	7.1	0	0.7	6.3	2.6	7.1
Zm00001d048391	GATA	36	33	C2C2-GATA-transcription factor 10	Putative GATA transcription factor family protein	2	mu1029628|mu1040292	UFMu-02862|UFMu-03664	Zm00004b034454	One-to-One	moderate	missense_variant	FALSE	0							1.6	1.8	0.7	0.9	1	1.1	1.2	3.4	0.2	0.8	0.8	1.4	3.4
Zm00001d048471	TALE	28	26	Homeobox-transcription factor 20	Putative knotted-like transcription factor family protein	1	mu1058234	UFMu-07505	Zm00004b034527	One-to-One	moderate	missense_variant	FALSE	2	1	acti					0.1	0.3	52.5	26.2	35	14.3	0	0.1	63.6	32.1	29.2	11.9	63.6
Zm00001d048601	GRAS	81	68	GRAS-transcription factor 68	GRAS transcription factor [Source:UniProtKB/TrEMBL;Acc:K7U8D1]	1	mu1077517	UFMu-09277	Zm00004b020095	One-to-Many	high	frameshift_variant	FALSE	0							0	0	0.1	0	35	0.2	0.5	0.7	1.9	0.8	11	0.5	11
Zm00001d048602	GRAS	81	69	GRAS-transcription factor 72	""	3	mu1059941|mu1091479|mu1091480	UFMu-08026|UFMu-11263|UFMu-11276	Zm00004b020096	One-to-One	moderate	disruptive_inframe_insertion	FALSE	1	1	acti					0	0	2.6	0.4	6.7	0.9	0.2	0	1	0.3	3.2	0.7	3.2
Zm00001d048603	GRAS	81	70	GRAS-transcription factor 83	""	6	mu1017218|mu1029647|mu1056703|mu1059942|mu1075124|mu1094910	UFMu-01198,UFMu-01334,UFMu-01537,UFMu-01856,UFMu-04548,UFMu-05170|UFMu-02727|UFMu-07233|UFMu-08229|UFMu-05806|UFMu-12046	Zm00004b020095,Zm00004b020097	Many-to-Many,Many-to-One	high	frameshift_variant	FALSE	0							6.7	2.6	27.4	5.7	15.1	4.8	6.4	3.9	30.2	8.2	16.1	4.9	8.2
Zm00001d048604	GRAS	81	71	GRAS-transcription factor 34	""	3	mu1021588|mu1021588|mu1030663	UFMu-01537|UFMu-10820|UFMu-02695,UFMu-03463,UFMu-07260	Zm00004b020099	One-to-One	moderate	missense_variant	FALSE	2	1	acti					3	2.7	29.5	9.5	13	3.7	6	3.2	29.4	7.3	12.5	3.4	7.3
Zm00001d049000	ZF-HD	21	17	ZF-HD-transcription factor 1	Putative homeobox DNA-binding domain superfamily protein	2	mu1005539|mu1022277	UFMu-01260,UFMu-03323,UFMu-04178,UFMu-06822|UFMu-02053	Zm00004b020414	One-to-One	moderate	conservative_inframe_insertion	FALSE	0							14.8	0	0	2.6	0.1	5.2	36.1	0.1	0	9.2	0	6.4	9.2
Zm00001d049369	B3	45	43	ABI3-VP1-transcription factor 14	B3 domain-containing protein	2	mu1067365|mu1081254	UFMu-08568|UFMu-09474	Zm00004b020715	One-to-One	high	start_lost	FALSE	7	-0.2857142857142857	mix					23.8	14.1	60.8	16.1	46.5	38.1	15.3	2.5	28.6	17.6	16.4	15.6	28.6
Zm00001d049540	NAC	126	111	NAC-transcription factor 77	Putative NAC domain transcription factor superfamily protein	1	mu1077450	UFMu-09290	Zm00004b020836	One-to-One	moderate	missense_variant	FALSE	7	1	acti					131.5	178.7	152.8	66.6	85.5	54.7	288.5	239.4	185.5	100.2	97.4	42.5	97.4
